Matrícula,P1E,P1D,P1P,P2,P3,E,Freq
GRR20149122,0.5,NA,NA,5.5,9,5.15,14
GRR20149152,2,0.5,6,6,9,7.6,16
GRR20137525,8.05,1,10,10,9,NA,19
GRR20137526,0,NA,8.5,NA,NA,NA,15
GRR20149154,3.5,1,10,9.3,9,NA,15
GRR20149157,1.25,NA,NA,NA,NA,NA,2
GRR20159284,8,1,9.5,10,10,NA,19
GRR20149125,8.15,1,9,8.5,9,NA,15
GRR20159232,5,1,9,9.5,10,NA,18
GRR20159983,5,1,10,9.5,10,NA,19
GRR20137507,0.7,0.75,9.5,4,9,7.15,13
GRR20124667,NA,NA,NA,NA,NA,NA,0
GRR20149080,4.75,NA,4,NA,NA,NA,8
GRR20135636,0,NA,NA,2.5,9,NA,7
GRR20124692,0,NA,NA,NA,NA,NA,17
GRR20124664,0.5,1,3.5,NA,NA,NA,14
GRR20159211,4.5,NA,8,6.8,10,NA,16
ISO20170121,3.25,1,4,9.5,9,NA,18
GRR20149096,NA,NA,NA,NA,NA,NA,5
GRR20137598,1.25,0.75,8,6.3,9,4.2,15
GRR20149099,3,0.75,5.5,4.6,9,5.8,17
GRR20149135,6.25,0.5,8.5,8.8,9,NA,16
GRR20149107,1.25,0.5,7.5,7.5,9,NA,14
GRR20159323,2.5,1,5.5,4,10,4.9,15
GRR20137581,0.2,0.75,5,2.5,9,NA,17
GRR20137583,0.5,0.75,6.5,NA,9,NA,13
GRR20137584,NA,NA,NA,NA,NA,NA,15
GRR20137520,NA,NA,NA,NA,NA,NA,9
GRR20149119,NA,NA,NA,NA,NA,NA,1
GRR20159897,5,1,7.5,8.5,10,NA,19
GRR20137599,2.5,1,8,3.8,9,4.7,13
GRR20159077,NA,NA,NA,NA,NA,NA,7
